Status,Tag Code,State,Agency,Rearing Code,Location (Facility or Wild Stock),Year Brood,Stock,Ancestry,Species,Stage,Weight,Length,Year Released,Release Site,Date Last Released,Ad Clipped and Tagged,Total Released,Experiment Code,Region Released,Mark Code,Thermal Mark Hatch Code,Thermal Mark RBr,Mark ID,Comment (PSMFC)
TAGGED,43560,AK,AAC,H,BELL ISLAND NET PENS,1989,KETCHIKAN CR,UNUK R 101-75,CHINOOK,SMOLT       ,25,,1991,BELL ISLAND 101-80,5/15/91,5660,5853,R,1,AD,,,,
TAGGED,43751,AK,AAC,H,BELL ISLAND NET PENS,1990,KETCHIKAN CR,UNUK R 101-75,CHINOOK,SMOLT       ,33,,1992,BELL ISLAND 101-80,6/1/92,5170,5308,R,1,AD,,,,
TAGGED,401011002,AK,AAC,H,BELL ISLAND NET PENS,1991,KETCHIKAN CR,UNUK R 101-75,CHINOOK,SMOLT       ,22.7,,1993,BELL ISLAND 101-80,6/2/93,5172,5659,R,1,AD,,,,HALF LENGTH CODE CUT AS FULL LENGTH TAGS
TAGGED,44260,AK,AAC,H,BELL ISLAND NET PENS,1992,KETCHIKAN CR,UNUK R 101-75,CHINOOK,SMOLT       ,30.46,,1994,BELL ISLAND 101-80,5/29/94,5105,5263,R,1,AD,,,,
TAGGED,43529,AK,AAC,H,BELL ISLAND NET PENS,1989,REFLECTION LK 101-80,REFLECTION LK 101-80,COHO,SMOLT       ,15,,1991,BELL ISLAND 101-80,5/15/91,5308,5411,R,1,AD,,,,
TAGGED,401011003,AK,AAC,H,BELL ISLAND NET PENS,1991,REFLECTION LK 101-80,REFLECTION LK 101-80,COHO,SMOLT       ,15.5,,1993,BELL ISLAND 101-80,6/2/93,5117,5409,R,1,AD,,,,HALF LENGTH CODE CUT AS FULL LENGTH TAGS
TAGGED,44259,AK,AAC,H,BELL ISLAND NET PENS,1992,WARD LK 101-47,REFLECTION LK 101-80,COHO,SMOLT       ,29.8,,1994,BELL ISLAND 101-80,5/29/94,4889,5035,R,1,AD,,,,
TAGGED,43210,AK,AAI,H,BURNETT INLET,1987,CRYSTAL CR,ANDREW CR 108-40,CHINOOK,SMOLT       ,21.3,,1989,BURNETT INLET 106-22,5/2/89,19128,100000,,1,AD,,,,
NOT TAGGED,!01891AAI01,AK,AAI,H,BURNETT INLET,1987,CRYSTAL CR,,CHINOOK,SMOLT       ,21.26,123,1989,BURNETT INLET 106-22,5/13/89,0,70000,,1,NO MARK,,,,
TAGGED,43441,AK,AAI,H,BURNETT INLET,1988,CRYSTAL CR,ANDREW CR 108-40,CHINOOK,SMOLT       ,57.7,158,1990,BURNETT INLET 106-22,5/22/90,20964,192364,,1,AD,,,,
TAGGED,43633,AK,AAI,H,BURNETT INLET,1989,CRYSTAL CR,ANDREW CR 108-40,CHINOOK,SMOLT       ,44.6,138,1991,BURNETT INLET 106-22,4/18/91,30283,70000,,1,AD,,,,
TAGGED,43445,AK,AAI,H,BURNETT INLET,1989,HARDING R,HARDING R,CHINOOK,SMOLT       ,30.4,,1991,BURNETT INLET 106-22,5/29/91,22031,30160,,1,AD+LV,,,,ADLV+CWT
