Year,Chinook_harvest,Sockeye_harvest,Coho_harvest,Pink_harvest,Chum_harvest,Region,Source,ReportNumber,Chinook_enhanced,Sockeye_enhanced,Coho_enhanced,Pink_enhanced,Chum_enhanced
1979,366,1073,1283,10976,887,Southeast,McNair_1994,5FJ94-10,12,0,40,26,10
1979,19,369,314,15637,349,PWS,McNair_1994,5FJ94-10,0,0,2,275,0
1979,21,4819,707,20297,1093,Kodiak,McNair_1994,5FJ94-10,0,0,0,235,0
1979,21,4819,707,20297,1093,AP,McNair_1994,5FJ94-10,0,0,0,235,0
1980,321,1119,1136,14477,1650,Southeast,McNair_1994,5FJ94-10,28,0,10,1,17
1980,8,207,335,14160,482,PWS,McNair_1994,5FJ94-10,0,0,5,1164,3
1980,22,6529,659,29142,3384,Kodiak,McNair_1994,5FJ94-10,0,0,0,359,0
1980,22,6529,659,29142,3384,AP,McNair_1994,5FJ94-10,0,0,0,359,0
1981,270,1077,1406,18966,848,Southeast,McNair_1994,5FJ94-10,2,0,42,18,1
1981,20,783,396,20556,1887,PWS,McNair_1994,5FJ94-10,0,0,0,1406,12
1981,32,7217,516,16844,4405,Kodiak,McNair_1994,5FJ94-10,0,0,0,663,0
1981,32,7217,516,16844,4405,AP,McNair_1994,5FJ94-10,0,0,0,663,0
1982,276,1488,2043,24189,1328,Southeast,McNair_1994,5FJ94-10,1,0,79,13,92
1982,47,2239,629,20402,1335,PWS,McNair_1994,5FJ94-10,0,0,0,4321,1
1982,45,6507,1141,17155,4261,Kodiak,McNair_1994,5FJ94-10,0,0,0,190,0
1982,45,6507,1141,17155,4261,AP,McNair_1994,5FJ94-10,0,0,0,190,0
1983,275,1555,1931,37523,1167,Southeast,McNair_1994,5FJ94-10,1,0,73,52,165
1983,52,759,338,13980,1044,PWS,McNair_1994,5FJ94-10,0,8,0,3702,13
1983,63,7706,420,7756,3306,Kodiak,McNair_1994,5FJ94-10,0,0,0,130,0
1983,63,7706,420,7756,3306,AP,McNair_1994,5FJ94-10,0,0,0,130,0
1984,257,1212,1842,24630,4089,Southeast,McNair_1994,5FJ94-10,1,0,22,165,431
1984,38,1251,578,21569,1245,PWS,McNair_1994,5FJ94-10,0,15,0,3026,78
1984,39,8729,849,25213,3194,Kodiak,McNair_1994,5FJ94-10,0,2,0,336,0
1984,39,8729,849,25213,3194,AP,McNair_1994,5FJ94-10,0,2,0,336,0
1985,240,1861,2562,51959,3272,Southeast,McNair_1994,5FJ94-10,17,0,195,442,778
1985,43,1428,1022,25129,1286,PWS,McNair_1994,5FJ94-10,0,33,0,6848,60
1985,34,7505,823,11928,2480,Kodiak,McNair_1994,5FJ94-10,0,2,12,3448,120
1985,34,7505,823,11928,2480,AP,McNair_1994,5FJ94-10,0,2,12,3448,120
1986,259,1432,3353,45575,3297,Southeast,McNair_1994,5FJ94-10,17,19,325,407,997
1986,41,1287,425,11390,1699,PWS,McNair_1994,5FJ94-10,0,40,5,5889,175
1986,24,8465,711,16403,3330,Kodiak,McNair_1994,5FJ94-10,0,30,2,398,70
1986,24,8465,711,16403,3330,AP,McNair_1994,5FJ94-10,0,30,2,398,70
1987,261,1362,1589,10035,2556,Southeast,McNair_1994,5FJ94-10,28,36,132,467,811
1987,42,1738,176,29231,1920,PWS,McNair_1994,5FJ94-10,0,61,23,14783,126
1987,31,6287,741,6550,2091,Kodiak,McNair_1994,5FJ94-10,0,18,5,1082,4
1987,31,6287,741,6550,2091,AP,McNair_1994,5FJ94-10,0,18,5,1082,4
1988,264,1460,1042,11202,3535,Southeast,McNair_1994,5FJ94-10,33,20,49,119,973
1988,32,768,479,11737,1841,PWS,McNair_1994,5FJ94-10,0,70,59,8949,482
1988,57,6409,1413,24892,3940,Kodiak,McNair_1994,5FJ94-10,0,247,25,675,151
1988,57,6409,1413,24892,3940,AP,McNair_1994,5FJ94-10,0,247,25,675,151
1989,288,2115,2133,59317,1935,Southeast,McNair_1994,5FJ94-10,21,37,78,881,487
1989,32,1175,425,21886,1002,PWS,McNair_1994,5FJ94-10,0,127,131,12368,200
1989,21,6840,741,13952,1173,Kodiak,McNair_1994,5FJ94-10,0,800,0,0,0
1989,21,6840,741,13952,1173,AP,McNair_1994,5FJ94-10,0,800,0,0,0
1990,332,2136,2664,31185,1884,Southeast,McNair_1994,5FJ94-10,38,110,344,499,408
1990,22,912,524,44165,967,PWS,McNair_1994,5FJ94-10,0,150,201,28195,612
1990,54,12093,875,10124,2177,Kodiak,McNair_1994,5FJ94-10,0,2291,7,592,4
1990,54,12093,875,10124,2177,AP,McNair_1994,5FJ94-10,0,2291,7,592,4
1991,327,2058,2347,61515,2949,Southeast,McNair_1994,5FJ94-10,42,99,581,1092,877
1991,35,1735,632,37295,352,PWS,McNair_1994,5FJ94-10,0,708,76,20896,238
1991,44,12759,1041,28434,3057,Kodiak,McNair_1994,5FJ94-10,0,2871,10,1407,32
1991,44,12759,1041,28434,3057,AP,McNair_1994,5FJ94-10,0,2871,10,1407,32
1992,232,2633,2879,34694,4566,Southeast,McNair_1994,5FJ94-10,34,196,617,1309,1459
1992,41,1772,620,8637,334,PWS,McNair_1994,5FJ94-10,0,485,123,4416,214
1992,54,12417,1167,14890,2606,Kodiak,McNair_1994,5FJ94-10,0,1079,10,824,4
1992,54,12417,1167,14890,2606,AP,McNair_1994,5FJ94-10,0,1079,10,824,4
1993,275,3176,3433,57249,7229,Southeast,McNAir_2012,5J95-06,27,358,480,662,3440
1993,32,1851,446,5761,1186,PWS,McNAir_2012,5J95-06,1,326,36,2386,611
1993,99,13554,810,45237,1839,Kodiak,McNAir_2012,5J95-06,0,2529,16,12416,35
1993,99,13554,810,45237,1839,AP,McNAir_2012,5J95-06,0,2529,16,12416,35
1994,231,2387,5560,57343,9972,Southeast,McNair_1995,5595-06,28,160,736,1864,5242
1994,49,1514,1012,36654,1058,PWS,McNair_1997,5595-06,0,215,57,21138,474
1994,56,9331,1057,18836,3234,Kodiak,McNair_1997,5595-06,0,2243,48,2075,5
1994,56,9331,1057,18836,3234,AP,McNair_1997,5595-06,0,2243,48,2075,5
1995,210,1790,3340,47920,10890,Southeast,McNair_1995,5J96-08,50,105,577,1594,6229
1995,70,1520,970,16070,760,PWS,McNair_1996,5J96-08,0,327,78,9072,404
1995,60,12420,970,61040,3690,Kodiak,McNair_1997,5J96-08,0,171,50,4514,215
1995,60,12420,970,61040,3690,AP,McNair_1997,5J96-08,0,171,50,4514,215
1996,202,2790,3035,64656,15800,Southeast,McNair_1996,5J97-09,51,495,595,1613,8376
1996,59,2990,423,26021,2389,PWS,McNair_1996,5J97-09,0,721,118,14501,987
1996,13,4838,169,3648,510,Kodiak,McNair_1996,5J97-09,0,510,57,974,14
1996,13,5307,555,2373,931,AP,McNair_1996,5J97-09,0,0,0,0,0
1997,291,2450,1749,28657,11260,Southeast,McNair_1998,5J98-03,37,301,378,688,6026
1997,52,4133,76,25706,2216,PWS,McNair_1998,5J98-03,1,1113,53,14869,1072
1997,19,2465,350,11009,510,Kodiak,McNair_1998,5J98-03,0,408,109,1225,11
1997,20,5116,291,3162,835,AP,McNair_1999,5J98-03,0,0,0,0,0
1998,231,1375,2911,42565,15560,Southeast,McNair_1999,5J599-02,21,204,580,863,7732
1998,71,1710,195,28700,1270,PWS,McNair_1999,5J599-02,0,620,27,16227,510
1998,17,3622,425,22056,316,Kodiak,McNair_1999,5J599-02,0,842,150,6272,38
1998,15,4323,417,8853,911,AP,McNair_1999,5J599-02,0,0,0,0,0
1999,190,1160,3570,77700,14900,Southeast,McNair_2000,5J00-02,34,130,723,825,7802
