Year,Chinook_harvest,Sockeye_harvest,Coho_harvest,Pink_harvest,Chum_harvest,Region,Source,ReportNumber,Chinook_enhanced,Sockeye_enhanced,Coho_enhanced,Pink_enhanced,Chum_enhanced
1999,63,2030,245,45000,2990,PWS,McNair_2000,5J00-02,0,412,68,24466,1840
1999,18,4650,296,11900,914,Kodiak,McNair_2000,5J00-02,0,840,116,4057,141
1999,13,7850,335,10134,1008,AP,McNair_2000,5J00-02,0,0,0,0,0
2000,230,1220,1970,20270,15850,Southeast,McNair_2001,5J01-01,57,177,338,191,8366
2000,30,1430,720,37910,5090,PWS,McNair_2001,5J01-01,0,490,454,21951,2967
2000,10,2910,330,9920,1190,Kodiak,McNair_2001,5J01-01,0,460,133,3660,304
2000,10,5740,460,4010,1270,AP,McNair_2001,5J01-01,0,0,0,0,0
2001,215,2021,3122,67127,8649,Southeast,McNair_2002,5J02-04,48,281,563,1165,3494
2001,42,2273,444,34390,3141,PWS,McNair_2002,5J02-04,0,827,149,15085,1547
2001,24,2658,404,19540,1054,Kodiak,McNair_2002,5J02-04,0,412,152,13272,217
2001,10,3248,362,4807,1242,AP,McNair_2002,5J02-04,0,0,0,0,0
2002,372,787,2986,45612,6294,Southeast,Farrington_2003,5J03-05,49,84,620,948,3098
2002,40,2262,650,18950,6373,PWS,Farrington_2003,5J03-05,0,1070,28,7873,3557
2002,19,1830,495,18321,650,Kodiak,Farrington_2003,5J03-05,0,626,209,6697,89
2002,12,3489,276,2283,927,AP,Farrington_2003,5J03-05,0,0,0,0,0
2003,403,1450,2442,52481,9269,Southeast,Farrington_2004,5J04-02,43,102,484,502,4002
2003,49,2799,490,49461,3718,PWS,Farrington_2004,5J04-02,0,1205,73,34178,1797
2003,19,4042,339,14066,1152,Kodiak,Farrington_2004,5J04-02,0,799,135,5013,460
2003,9,3619,288,4779,740,AP,Farrington_2004,5J04-02,0,0,0,0,0
2004,474,1985,3041,45017,11234,Southeast,White_2005,05_09,59,349,470,549,4526
2004,36,1858,606,24224,2089,PWS,White_2005,05_09,0,415,34,8666,1202
2004,29,4143,484,21438,1121,Kodiak,White_2005,05_09,0,277,128,2053,238
2004,20,5333,271,6685,808,AP,White_2005,05_09,0,0,0,0,0
2005,448,1608,2993,59040,6437,Southeast,White_2006,06_19,50,121,491,772,2770
2005,35,1987,536,59897,1987,PWS,White_2006,06_19,0,329,183,35111,1383
2005,14,3047,396,30139,477,Kodiak,White_2006,06_19,0,215,152,10963,92
2005,16,6598,220,9614,791,AP,White_2006,06_19,0,0,0,0,0
2006,355,1330,2054,11650,13931,Southeast,White_2007,07_04,41,248,318,299,7777
2006,31,2524,677,22296,2428,PWS,White_2007,07_04,0,832,324,10010,1199
2006,20,1584,553,31693,1081,Kodiak,White_2007,07_04,0,114,152,1840,176
2006,15,5109,299,5701,1371,AP,White_2007,07_04,0,0,0,0,0
2007,352,1904,2081,44813,9412,Southeast,White_2008,08_03,57,62,419,584,4385
2007,40,3232,337,63452,3579,PWS,White_2008,08_03,0,913,136,41500,2459
2007,17,2003,369,24767,745,Kodiak,White_2008,08_03,0,207,126,6212,209
2007,15,6679,291,10480,940,AP,White_2008,08_03,0,0,0,0,0
2008,241,422,2356,15951,9022,Southeast,White_2009,09_08,62,33,444,95,5179
2008,12,1303,548,42413,5089,PWS,White_2009,09_08,0,857,275,32631,4235
2008,17,1819,301,8724,908,Kodiak,White_2009,09_08,0,312,117,424,92
2008,14,4840,515,15920,1200,AP,White_2009,09_08,0,0,0,0,0
2009,267,934,2572,37687,9589,Southeast,White_2010,10_05,53,57,434,645,5957
2009,10,1918,312,18319,3217,PWS,White_2010,10_05,0,816,21,10439,2516
2009,7,1727,319,27614,964,Kodiak,White_2010,10_05,0,231,127,6712,99
2009,14,5347,470,11162,2043,AP,White_2010,10_05,0,0,0,0,0
2010,249,717,2507,24195,9443,Southeast,White_2011,11_04,50,54,603,499,4710
2010,10,1930,333,69083,4087,PWS,White_2011,11_04,0,1511,14,63360,3475
2010,15,1437,266,8842,735,Kodiak,White_2011,11_04,0,296,113,2173,189
2010,21,4877,386,1357,1635,AP,White_2011,11_04,0,0,0,0,0
2011,346,1243,2269,59071,10702,Southeast,Vercessi_2012,12_04,68,155,575,713,5315
2011,20,3541,371,33356,1910,PWS,Vercessi_2012,12_04,0,1757,162,21042,1332
2011,19,2269,190,16649,825,Kodiak,Vercessi_2012,12_04,0,460,63,533,292
2011,16,5344,249,6383,1543,AP,Vercessi_2012,12_04,0,0,0,0,0
2012,282,947,2084,21288,12373,Southeast,Vercessi_2013,13_05,57,99,498,230,8141
2012,12,3690,209,27234,3818,PWS,Vercessi_2013,13_05,0,1623,11,20715,3127
2012,15,2234,208,16873,866,Kodiak,Vercessi_2013,13_05,0,299,46,1815,218
2012,13,4564,157,789,1067,AP,Vercessi_2013,13_05,0,0,0,0,0
2013,423,1558,3674,37092,6501,Southeast,Vercessi_2014,14_12,55,95,868,326,4456
2013,10,3307,600,43902,1530,PWS,Vercessi_2014,14_12,0,1494,169,36680,904
2013,9,3257,474,10678,337,Kodiak,Vercessi_2014,14_12,0,297,230,5100,46
2013,18,3989,527,1190,685,AP,Vercessi_2014,14_12,0,0,0,0,0
2014,423,1558,3674,37092,6501,Southeast,Vercessi_2014,15_15,55,95,868,326,4456
2014,10,3307,600,43902,1530,PWS,Vercessi_2014,15_15,0,1494,169,36680,904
2014,9,3257,474,10678,337,Kodiak,Vercessi_2014,15_15,0,297,230,5100,46
2014,18,3989,527,1190,685,AP,Vercessi_2014,15_15,0,0,0,0,0
2015,351,1494,2103,34155,10835,Southeast,Stopha_2015,5J16-03,79,132,835,528,9145
2015,23,3209,206,95098,2206,PWS,Stopha_2015,5J16-03,0,1661,75,70375,2139
2015,7,3097,395,32980,770,Kodiak,Stopha_2015,5J16-03,0,303,39,4826,43
2015,47,7474,405,18671,967,AP,Stopha_2015,5J16-03,0,0,0,0,0
2016,309,1473,2296,16927,8712,Southeast,Stopha_2017,5J17-04 ,44,290,528,359,7516
2016,13,1978,480,11989,2925,PWS,Stopha_2017,5J17-04 ,0,926,9,9931,2925
2016,7,2063,206,3196,404,Kodiak,Stopha_2017,5J17-04 ,0,191,12,1154,70
2016,35,7372,355,3020,631,AP,Stopha_2017,5J17-04 ,0,0,0,0,0
